tagihan_id;mahasiswa;tanggal_jatuh_tempo;is_terlambat;nominal_tagihan;nominal_harus_bayar;jenis_pembayaran;tahun_ajaran;semester_tagihan;jenis_semester;bulan_jatuh_tempo;angkatan;kode_prodi;nama_prodi;jalur_masuk;subjalur_masuk;jenis_kelamin;statusmhs_periode;is_statusmhs_periode_missing;kps_status;is_kps_status_missing;jumlah_saudara;is_jumlah_saudara_missing;penghasilan_ortu_label;is_penghasilan_ortu_missing;pendidikan_ayah_label;is_pendidikan_ayah_missing;pendidikan_ibu_label;is_pendidikan_ibu_missing;pekerjaan_ayah;is_pekerjaan_ayah_missing;pekerjaan_ibu;is_pekerjaan_ibu_missing;prev_tagihan_count;prev_late_count;prev_late_ratio;prev_cicilan_count;prev_cicilan_ratio
1;Mahasiswa 0001;2014-09-11;0;5200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;21412;Teknik Mekatronika;PSUD;SMU;L;Aktif;0;Unknown;1;2;0;4 Juta;0;S1;0;S1;0;Karyawan Swasta;0;IRT;0;0;0;0.0000;0;0.0000
2;Mahasiswa 0002;2014-09-11;0;5200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;21412;Teknik Mekatronika;UMPCR;UMPCR I;L;Aktif;0;Unknown;1;3;0;1 Juta;0;S2;0;S1;0;PNS;0;Wiraswasta;0;0;0;0.0000;0;0.0000
3;Mahasiswa 0003;2014-09-11;0;5600000.00;5600000.00;Semester;2014/2015;5;Ganjil;9;2012;57301;Sistem Informasi;PSUD;SMU;P;Aktif;0;Unknown;1;2;0;4 Juta;0;S2;0;S2;0;PNS;0;PNS;0;0;0;0.0000;0;0.0000
5;Mahasiswa 0005;2014-09-11;0;5200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;21412;Teknik Mekatronika;UMPCR;UMPCR I;L;Aktif;0;Unknown;1;1;0;4 Juta;0;S1;0;SMA;0;Karyawan Swasta;0;IRT;0;0;0;0.0000;0;0.0000
7;Mahasiswa 0007;2014-09-11;0;5600000.00;5600000.00;Semester;2014/2015;5;Ganjil;9;2012;20301;Teknik Elektronika;PSUD;SMU;L;Aktif;0;Unknown;0;3;0;Diatas 5 Juta;0;S1;0;SMP;0;Tani;0;IRT;0;0;0;0.0000;0;0.0000
10;Mahasiswa 0009;2014-09-11;0;5200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;20402;Teknik Telekomunikasi;PSUD;SMU;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;0;0;0.0000;0;0.0000
11;Mahasiswa 0010;2014-09-11;0;5600000.00;5600000.00;Semester;2014/2015;5;Ganjil;9;2012;55301;Teknik Informatika;UMPCR;UMPCR II;P;Aktif;0;Unknown;1;1;0;4 Juta;0;S2;0;S2;0;PNS;0;PNS;0;0;0;0.0000;0;0.0000
12;Mahasiswa 0011;2014-09-11;0;5600000.00;5600000.00;Semester;2014/2015;5;Ganjil;9;2012;20301;Teknik Elektronika;PSUD;SMU;L;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;0;0;0.0000;0;0.0000
13;Mahasiswa 0012;2014-09-11;0;2200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;20402;Teknik Telekomunikasi;PSUD;SMU;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;0;0;0.0000;0;0.0000
14;Mahasiswa 0013;2014-09-11;0;5600000.00;5600000.00;Semester;2014/2015;5;Ganjil;9;2012;20301;Teknik Elektronika;UMPCR;UMPCR II;L;Aktif;0;Unknown;1;1;0;2 Juta;0;SMP;0;SMP;0;Buruh;0;IRT;0;0;0;0.0000;0;0.0000
15;Mahasiswa 0014;2014-09-11;0;5200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;62401;Akuntansi;PSUD;SMU;P;Aktif;0;Unknown;1;1;0;5 Juta;0;S2;0;S1;0;Pegawai BUMN/D;0;-;0;0;0;0.0000;0;0.0000
16;Mahasiswa 0015;2014-09-11;0;3200000.00;5600000.00;Semester;2014/2015;5;Ganjil;9;2012;57301;Sistem Informasi;PSUD;SMU;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;0;0;0.0000;0;0.0000
17;Mahasiswa 0016;2014-09-11;0;5200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;20402;Teknik Telekomunikasi;PSUD;SMU;P;Aktif;0;Unknown;1;4;0;2 Juta;0;S1;0;SMP;0;Pensiunan;0;Karyawan Swasta;0;0;0;0.0000;0;0.0000
18;Mahasiswa 0017;2014-09-11;0;5600000.00;5600000.00;Semester;2014/2015;5;Ganjil;9;2012;55301;Teknik Informatika;PSUD;SMU;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;0;0;0.0000;0;0.0000
19;Mahasiswa 0018;2014-09-11;0;5600000.00;5600000.00;Semester;2014/2015;5;Ganjil;9;2012;55301;Teknik Informatika;PSUD;SMU;L;Aktif;0;Unknown;1;2;0;Diatas 5 Juta;0;S1;0;S2;0;TNI/Polri;0;IRT;0;0;0;0.0000;0;0.0000
22;Mahasiswa 0021;2014-09-11;0;5200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;56401;Teknik Komputer;PSUD;SMU;P;Aktif;0;Unknown;1;4;0;3 Juta;0;SMP;0;SMA;0;Buruh;0;-;0;0;0;0.0000;0;0.0000
23;Mahasiswa 0022;2014-09-11;0;5200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;20402;Teknik Telekomunikasi;PSUD;SMU;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;0;0;0.0000;0;0.0000
24;Mahasiswa 0023;2014-09-11;0;5200000.00;5200000.00;Semester;2014/2015;5;Ganjil;9;2012;62401;Akuntansi;UMPCR;UMPCR I;P;Aktif;0;Unknown;0;3;0;2 Juta;0;S1;0;SMA;0;Wiraswasta;0;IRT;0;0;0;0.0000;0;0.0000
